Ozone,NO,NO2,NOX,SO2,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
37,1,30,33,4,9,6,3,8,5,3
37,4,32,38,5,9,8,1,7,5,2
46,4,28,35,3,11,8,3,7,5,2
38,7,36,46,3,11,10,2,8,6,2
31,54,51,135,5,13,11,2,8,7,0
18,25,52,90,3,15,13,2,11,9,2
23,26,52,93,3,13,10,2,9,7,2
18,22,54,88,3,12,11,2,11,9,2
9,15,53,76,3,14,12,3,12,10,3
14,10,47,63,4,11,8,3,11,7,3
18,14,46,68,4,13,9,3,11,8,3
16,47,56,128,6,13,11,3,12,8,3
4,70,68,176,5,23,19,3,19,15,4
1,92,78,220,8,32,26,5,27,22,5
10,58,63,152,6,22,18,5,20,15,5
2,104,79,239,12,36,30,6,31,25,6
1,106,81,243,9,38,32,6,36,29,6
7,18,49,77,3,26,18,8,24,17,8
21,22,54,89,4,11,7,5,7,4,4
18,20,62,92,6,15,12,3,11,9,3
30,19,48,77,3,11,8,3,8,6,3
28,35,53,107,4,12,10,2,9,7,2
12,31,78,126,6,14,12,2,11,9,2
2,49,69,144,4,18,15,3,17,13,3
20,12,42,60,5,15,8,6,12,7,5
29,12,44,61,6,12,9,3,9,6,3
19,21,51,82,7,14,12,2,10,8,2
7,53,55,137,5,21,17,4,18,15,4
8,34,48,100,5,27,20,7,25,18,7
7,55,60,144,4,36,30,6,30,24,6
6,52,59,139,7,56,48,8,54,46,8
23,31,55,102,4,31,25,6,26,20,6
26,35,58,112,3,19,15,3,14,10,4
9,76,74,191,5,25,20,5,21,16,5
8,38,64,123,7,35,25,10,33,23,10
6,36,59,114,4,20,15,5,20,14,6
1,84,77,206,8,41,33,8,36,28,9
7,66,73,175,9,35,28,7,34,27,7
18,41,65,127,6,22,20,2,19,15,3
14,53,67,149,6,32,26,6,29,22,7
7,55,69,153,8,36,27,9,36,25,11
5,65,83,183,4,53,40,12,52,38,14
0,96,86,233,6,49,34,14,50,34,16
4,75,78,193,7,22,14,8,23,14,9
16,70,74,182,7,19,16,3,16,12,4
15,69,75,181,5,15,13,3,14,10,3
14,39,78,138,5,17,13,4,14,10,4
11,19,62,91,7,18,13,5,17,12,5
41,14,44,66,6,9,5,3,7,3,3
20,52,72,152,7,12,11,1,10,9,1
22,21,64,96,7,15,13,2,15,12,3
38,6,42,52,5,12,10,2,10,8,3
42,5,38,45,5,15,11,4,12,8,4
12,22,54,88,5,18,13,5,14,11,4
17,20,53,84,4,14,10,4,13,9,4
23,43,67,134,5,17,14,4,14,11,4
18,23,64,98,4,20,16,5,19,15,5
,,,,,,,,,,
,,,,,,,,,,
18,9,43,57,3,32,24,8,27,20,7
5,59,78,168,5,55,41,14,47,34,13
2,53,67,148,7,62,46,16,57,40,16
26,12,49,67,3,36,26,9,31,21,10
31,30,56,101,3,15,12,4,11,7,4
36,32,53,102,4,14,12,2,10,7,3
18,35,65,119,4,22,18,4,17,13,4
28,34,60,113,4,16,13,3,11,8,3
21,30,72,118,6,21,20,2,14,12,2
27,7,56,67,2,20,17,2,13,11,3
18,30,58,103,2,20,16,5,18,13,5
13,31,57,105,3,26,20,5,24,18,6
2,64,58,156,4,37,29,8,32,24,8
6,34,54,107,3,38,28,10,35,24,10
12,36,55,110,8,46,35,10,42,31,11
6,78,66,186,6,74,55,19,69,50,19
39,4,41,47,3,36,24,11,33,22,12
37,4,44,51,3,24,17,7,22,14,7
24,20,59,90,3,16,13,3,13,10,3
18,24,70,107,4,19,15,4,15,11,4
21,24,69,107,4,20,17,3,14,11,3
26,23,66,101,4,26,21,5,21,15,6
10,42,74,138,5,61,43,18,54,36,18
6,74,81,194,6,77,55,22,68,45,22
13,54,67,150,5,63,43,21,59,38,21
16,20,51,82,3,26,18,7,24,16,8
21,39,64,124,5,38,28,11,32,21,11
16,40,79,140,6,26,20,6,20,14,7
12,80,100,223,4,32,27,6,23,17,5
11,79,97,218,5,43,34,10,37,27,10
18,40,71,132,2,50,36,13,43,30,13
31,22,53,86,3,22,17,5,16,11,5
35,23,55,90,3,20,16,4,12,9,4
21,49,84,159,3,28,22,6,21,16,5
29,18,66,94,2,25,18,7,20,14,7
31,16,51,76,2,25,21,4,15,12,4
32,22,55,89,3,29,23,7,23,16,7
29,35,69,122,2,20,14,6,14,9,5
30,24,56,93,1,16,12,4,12,9,4
26,9,47,60,0,18,13,6,14,9,5
51,2,27,30,0,9,5,5,7,3,5
46,6,37,47,1,13,11,2,7,5,2
30,28,62,105,4,13,11,2,9,7,2
20,28,73,116,2,19,16,4,13,10,3
21,22,65,99,2,30,22,8,26,18,8
33,23,56,90,1,24,18,6,19,13,6
40,21,48,80,0,13,12,1,9,7,2
44,17,50,76,4,15,11,4,10,6,3
54,7,44,55,1,14,9,4,9,5,4
43,11,52,69,3,12,9,3,8,5,3
18,19,66,95,3,15,11,3,13,10,3
34,12,57,76,3,20,16,4,14,9,4
46,9,52,66,3,12,10,2,9,6,2
58,3,30,35,0,12,10,2,8,6,2
38,13,49,69,2,13,10,3,9,6,3
35,21,61,94,3,18,15,3,14,11,3
50,9,48,62,3,14,10,4,10,6,4
71,4,31,37,1,14,13,1,9,8,1
51,13,48,67,0,16,13,2,11,9,2
32,20,51,82,0,17,12,5,14,9,4
50,9,34,48,0,12,8,4,9,6,3
56,10,45,60,2,17,14,2,11,8,2
32,29,62,107,1,33,25,8,21,16,4
21,45,77,145,1,30,24,7,24,18,6
21,45,80,149,2,18,14,4,13,10,4
23,36,74,129,2,19,15,4,14,11,3
43,20,55,85,0,14,12,2,8,6,2
44,13,48,68,0,13,11,2,9,7,2
42,9,47,62,0,19,15,4,14,11,4
48,6,46,55,0,16,13,3,11,8,3
22,14,52,74,0,17,13,5,13,9,4
27,6,34,44,0,14,10,4,8,5,2
47,21,55,87,0,14,12,2,7,6,1
44,15,58,81,0,14,12,2,9,8,2
64,4,42,47,0,17,13,4,12,8,4
52,4,45,51,1,15,11,3,9,6,3
20,37,72,129,2,16,14,2,9,8,1
32,31,68,116,2,15,13,2,10,8,2
42,10,58,73,2,21,16,4,15,10,4
34,16,58,84,4,28,22,6,22,16,6
35,13,48,68,0,28,22,7,22,17,6
42,16,52,78,0,18,14,5,14,10,4
33,20,60,91,1,25,21,4,21,17,4
36,18,69,96,1,37,31,6,33,27,6
44,10,60,76,1,42,36,5,36,31,5
30,14,68,91,0,55,43,11,42,33,9
59,12,58,77,1,38,30,8,27,19,8
83,4,44,51,2,29,23,5,22,16,5
82,4,47,53,4,27,23,4,21,17,4
62,9,64,78,3,31,25,6,24,18,6
43,8,56,69,1,30,24,6,25,19,6
47,6,43,52,1,29,23,6,23,16,7
29,9,49,62,2,18,15,3,15,11,4
26,14,52,74,0,18,14,4,16,12,5
27,17,62,88,7,19,14,6,16,11,5
32,13,57,77,2,15,10,5,12,8,4
37,9,38,52,0,11,9,2,9,7,2
37,10,40,56,1,15,11,4,13,9,4
40,3,29,35,2,15,11,3,11,8,3
32,8,40,52,3,14,11,3,11,8,3
51,3,26,30,2,12,12,1,10,8,2
55,3,30,34,0,12,10,2,8,7,2
42,5,37,45,1,14,12,3,12,9,3
23,23,55,90,2,15,12,3,14,10,4
22,31,65,113,2,15,13,2,12,10,2
30,11,52,69,1,15,13,2,12,10,3
32,15,59,81,5,20,17,3,15,11,4
46,3,33,38,1,16,14,2,12,9,3
63,1,23,25,0,16,14,1,12,10,2
68,1,21,23,0,11,10,1,10,8,2
51,6,43,53,2,11,10,1,10,7,2
52,6,44,53,3,16,14,2,13,11,2
39,19,70,99,3,19,17,3,16,13,4
38,10,53,69,2,20,15,5,16,12,4
49,2,28,30,0,13,12,1,10,8,2
49,2,24,27,0,13,11,2,10,7,3
41,10,35,50,2,9,7,2,7,5,2
32,19,50,79,4,15,14,1,12,10,2
28,5,37,44,4,12,12,1,12,10,2
7,,,,2,14,12,2,13,10,3
27,,,,4,17,15,2,14,10,3
47,,,,3,13,12,2,11,8,2
48,,,,2,12,10,1,9,7,2
48,,,,1,10,9,1,8,6,2
32,,,,1,11,9,2,10,7,2
19,,,,1,10,8,2,9,7,3
18,,,,2,10,8,2,9,7,3
32,,,,3,14,12,2,12,9,3
27,,,,3,14,12,2,14,10,3
36,,,,3,12,10,2,11,8,3
18,,,,3,12,11,2,12,9,2
23,,,,2,14,11,2,13,10,3
29,,,,3,11,9,2,10,8,3
23,,,,4,12,11,2,8,6,2
24,,,,3,10,7,2,8,5,3
28,,,,3,12,10,2,10,7,3
20,,,,0,11,10,1,11,9,2
36,,,,3,12,10,2,10,7,2
,,,,,,,,,,
,,,,,,,,,,
19,7,33,44,3,12,8,4,11,6,5
28,9,41,55,2,13,11,2,10,7,3
18,19,46,76,3,14,11,3,12,8,3
31,11,42,59,1,14,12,2,11,8,3
61,1,35,37,2,13,10,2,13,9,4
66,4,43,50,3,16,13,3,15,11,4
78,7,64,75,3,22,18,4,20,15,5
80,14,81,103,2,26,23,3,26,20,5
85,6,67,76,2,29,23,6,27,21,7
25,24,73,110,2,31,24,7,30,21,8
44,8,38,50,1,12,10,2,10,6,3
36,2,32,36,0,11,10,2,9,6,3
41,4,34,41,0,10,9,2,8,6,2
26,6,42,51,0,13,11,2,13,9,3
26,9,47,61,0,17,13,3,15,11,4
36,3,29,33,0,13,11,2,11,8,2
33,5,34,41,0,13,10,2,11,8,3
33,3,34,39,0,12,9,2,11,8,3
32,3,33,37,0,11,8,2,10,7,3
33,4,36,42,0,10,9,2,10,7,2
27,7,35,46,0,10,8,2,9,6,2
22,9,43,57,3,12,9,2,11,8,3
34,22,64,98,1,21,18,3,20,16,4
46,16,69,94,1,26,21,5,26,20,7
40,15,67,90,3,23,17,6,21,14,7
51,8,44,56,2,22,17,5,23,16,7
28,6,35,44,0,10,8,2,12,8,4
32,4,34,40,0,13,10,3,11,8,3
21,15,51,75,8,21,17,4,22,16,6
32,3,33,38,0,14,12,2,13,10,3
42,3,38,44,1,14,12,3,14,10,4
47,1,34,37,3,,,,,,
47,9,41,55,2,,,,,,
34,3,38,44,0,12,10,3,12,8,4
27,8,41,54,1,14,11,2,13,10,4
36,3,36,40,0,12,10,2,10,7,3
37,4,37,44,1,11,8,2,10,7,3
40,3,40,44,3,14,11,3,12,9,4
31,2,33,36,2,10,8,2,9,6,3
46,6,30,39,0,11,10,1,10,8,2
42,2,30,34,0,12,9,3,11,7,3
42,2,31,35,0,12,10,2,11,8,3
33,4,39,45,0,13,11,2,11,8,3
26,20,49,80,1,11,10,1,9,7,2
24,22,55,88,1,12,10,2,10,8,2
30,3,37,42,0,13,11,2,11,8,3
20,4,35,41,0,12,10,2,11,9,3
11,28,63,107,2,17,13,4,14,11,4
8,31,58,106,4,20,16,3,18,14,4
24,21,60,92,2,17,14,2,13,11,2
29,29,65,110,2,19,16,3,17,14,3
22,21,75,107,4,23,18,4,20,16,4
30,30,73,120,4,21,18,4,21,16,5
55,41,65,129,6,26,22,4,26,21,5
46,2,30,33,2,9,7,2,10,7,3
36,20,59,90,3,9,7,2,7,4,2
23,14,54,75,2,10,8,2,10,7,3
29,15,52,75,3,12,9,2,10,7,2
28,30,58,103,3,11,8,3,7,6,2
26,11,54,70,2,14,12,2,13,11,2
31,1,32,35,3,10,8,3,9,6,3
35,5,40,47,3,10,8,2,10,7,3
26,19,57,86,3,9,7,2,7,5,2
16,26,77,116,3,9,8,1,8,6,2
23,6,53,63,2,11,8,2,9,6,3
17,20,67,98,6,11,9,3,11,8,3
24,20,54,84,2,10,8,2,10,7,3
17,18,58,86,3,12,8,3,14,8,5
16,29,52,96,1,18,12,6,16,11,6
30,6,39,48,1,10,7,3,7,5,2
16,29,59,103,1,11,9,2,10,8,2
12,29,75,120,1,15,12,3,14,11,3
21,7,49,61,0,11,8,3,9,7,3
14,27,72,114,3,14,11,3,10,8,2
36,3,36,40,3,13,10,3,11,8,3
25,8,45,58,0,11,8,3,10,6,3
32,5,37,46,0,12,8,3,9,6,3
25,11,46,63,0,11,8,2,9,6,3
22,12,51,70,1,13,10,3,10,8,2
22,18,59,87,0,11,8,3,8,5,3
18,58,66,154,2,13,10,2,10,9,2
3,39,58,119,2,21,16,5,19,15,4
3,46,66,137,2,21,15,6,18,13,5
8,35,69,122,4,21,15,5,18,13,5
12,32,74,123,10,17,14,4,14,11,3
4,56,60,146,7,24,18,7,21,16,6
24,10,48,63,5,12,9,4,8,5,3
15,14,63,84,4,11,7,4,8,6,3
8,26,60,101,5,12,9,3,11,8,3
13,22,55,89,5,15,11,4,13,9,4
33,9,43,57,3,13,10,3,10,7,3
34,7,45,56,0,13,10,3,10,8,2
30,8,52,64,0,12,9,2,9,7,2
6,48,65,138,2,14,11,3,13,10,3
6,26,59,99,4,18,14,4,16,12,4
14,30,52,98,1,13,9,4,11,8,4
4,50,44,121,4,28,21,7,26,20,6
2,61,46,139,5,32,24,9,32,24,8
0,66,54,155,4,55,43,12,62,49,13
14,36,53,108,1,17,11,6,16,10,6
27,28,56,100,1,12,8,4,10,6,3
25,25,53,91,1,11,9,2,10,8,2
16,9,47,60,0,12,9,4,12,8,4
14,24,68,105,1,11,8,3,11,7,4
11,22,62,96,3,15,10,5,15,11,5
28,9,49,64,3,12,8,5,12,8,4
28,12,53,71,1,9,7,2,8,6,2
25,13,57,76,3,10,8,2,9,7,2
19,10,62,77,3,16,14,3,16,14,2
10,28,73,116,3,18,14,4,17,13,4
7,54,77,160,4,26,23,3,26,23,3
3,47,75,147,4,27,23,5,29,24,5
11,19,63,92,1,15,12,3,14,10,4
19,17,66,93,3,11,8,3,11,8,4
20,12,60,78,2,13,9,4,13,9,4
18,13,62,82,4,16,12,3,17,13,4
6,30,70,116,4,22,18,3,23,19,4
8,18,64,91,5,14,11,3,14,11,3
20,12,53,71,3,14,11,3,13,10,3
12,37,63,119,10,20,15,5,21,15,6
1,74,64,177,9,34,25,9,39,28,11
2,34,53,104,4,32,22,10,38,26,12
6,31,55,103,4,18,13,5,18,12,6
15,20,64,94,5,14,10,3,13,10,3
22,15,54,77,3,13,10,4,13,9,4
28,8,45,57,2,11,9,2,12,8,4
10,20,64,95,3,14,11,3,14,11,3
46,6,37,46,5,11,8,3,10,7,4
24,17,69,95,5,12,10,2,12,9,2
2,104,84,244,8,22,17,6,25,19,6
45,5,33,40,3,10,7,2,8,6,2
20,31,72,121,4,10,7,3,10,7,3
8,49,66,141,4,12,8,4,13,9,4
14,51,68,147,6,10,7,3,10,7,3
8,73,82,193,7,15,11,4,15,11,4
1,101,101,256,6,25,20,6,27,21,7
2,68,81,185,6,22,16,6,25,18,7
8,34,81,133,5,16,12,4,16,12,5
11,21,77,110,4,11,8,4,11,6,4
9,37,86,143,4,12,10,2,13,9,3
2,82,91,216,4,,,,17,13,4
9,36,71,126,5,,,,16,11,5
17,53,83,164,4,,,,9,7,2
5,52,70,150,5,20,16,4,20,15,5
20,33,67,118,4,11,7,4,11,6,4
11,64,69,168,4,14,12,2,13,11,2
2,125,85,277,7,28,22,5,28,22,7
1,176,115,386,11,34,26,8,35,27,9
1,111,83,254,10,37,28,9,40,29,10
16,34,58,110,4,20,13,7,20,13,8
31,4,53,59,2,12,10,2,11,9,2
31,4,52,59,0,10,7,2,10,7,3
19,14,65,86,1,12,10,2,11,8,3
7,59,76,166,3,19,16,4,19,15,4
6,47,69,140,3,21,15,7,22,15,7
10,32,54,104,4,10,6,4,10,6,4
12,21,68,100,4,13,11,2,13,10,3
20,12,53,72,3,12,8,5,11,6,4
36,4,37,42,3,14,10,4,10,8,3
36,3,43,48,3,10,7,3,10,6,4
46,3,28,33,0,5,4,2,6,4,2
39,2,38,41,3,10,8,2,9,6,2
31,26,59,99,4,10,9,1,9,8,1
32,6,46,55,0,9,7,3,9,6,3
50,2,34,37,3,9,6,3,9,6,3
57,3,30,34,2,9,8,1,8,6,2
54,1,35,36,3,9,6,3,9,6,3
26,11,63,79,3,10,9,1,,,
10,17,57,83,2,12,11,1,,,
20,8,48,61,3,13,10,3,,,
26,17,62,88,7,13,10,3,,,
20,8,51,64,3,14,9,5,,,
15,8,46,58,3,15,10,5,,,
13,13,38,58,4,13,9,4,,,
20,8,43,54,5,15,12,3,,,
6,61,68,162,7,18,13,4,,,
1,111,85,255,11,28,21,7,,,
1,86,85,216,10,30,22,8,,,
6,44,67,134,8,22,15,7,,,
8,48,58,132,7,23,16,6,,,
10,32,66,116,6,16,10,6,,,
8,70,64,171,9,19,14,5,,,
1,104,79,239,11,30,23,7,,,
2,144,98,318,13,32,25,7,,,
8,47,59,131,9,30,22,9,,,
9,43,62,127,9,27,20,7,,,
16,44,57,124,8,21,16,5,,,
13,25,62,100,9,20,15,5,,,
3,105,94,255,12,32,25,7,,,
6,59,74,165,11,35,27,8,,,
7,48,77,151,8,26,20,6,,,
12,31,68,115,6,25,17,8,,,
22,14,60,82,6,15,11,4,,,
51,3,33,38,5,11,8,3,,,
38,6,41,50,4,10,8,2,,,
37,4,35,42,4,13,9,4,,,
44,5,40,48,4,,,,,,
45,6,40,49,3,13,12,1,,,
21,38,72,131,5,12,9,3,,,
21,45,64,133,6,11,10,0,,,
17,11,58,75,3,12,9,3,,,
37,19,54,83,4,13,10,3,,,
42,10,48,63,5,9,6,3,,,
22,47,58,131,7,11,10,0,,,
15,44,65,133,6,12,10,2,,,
6,70,71,179,8,19,14,4,,,
20,14,51,72,4,14,10,4,,,
23,12,41,60,5,9,5,4,,,
11,51,59,136,7,23,19,4,,,
8,38,56,114,7,38,33,6,,,
14,20,46,76,6,42,35,6,,,
11,33,65,116,,12,8,4,,,
7,54,81,163,4,15,13,2,,,
16,27,59,101,3,19,16,3,,,
10,44,60,127,5,37,29,8,,,
6,54,61,144,7,38,27,11,,,
2,148,92,319,10,43,32,10,,,
13,32,53,102,4,25,17,8,,,
25,26,55,94,2,16,11,5,,,
26,31,52,99,2,14,11,3,,,
28,25,51,89,2,23,19,4,,,
29,22,48,81,2,14,11,3,,,
23,33,50,100,2,20,17,3,,,
,,,,,37,30,7,,,
,37,68,124,5,19,14,5,,,
21,46,78,149,4,19,13,5,,,
25,44,76,143,4,17,13,4,,,
32,33,69,119,3,15,11,4,,,
17,68,90,194,6,24,18,6,,,
10,77,94,211,6,39,27,12,,,
12,107,102,265,8,40,30,10,,,
2,114,109,284,9,50,38,12,,,
1,140,105,319,7,51,37,14,,,
1,124,76,266,6,38,27,11,,,
4,66,50,151,4,27,19,9,,,
35,20,45,75,2,14,10,4,,,
47,25,47,85,3,10,7,2,,,
39,37,60,116,3,12,10,2,,,
14,65,86,186,6,16,13,3,,,
16,46,82,152,7,18,13,5,,,
41,7,46,57,3,14,11,3,,,
55,5,34,41,3,10,7,4,,,
38,15,54,76,4,10,7,3,,,
6,73,98,210,7,21,16,5,,,
14,39,73,133,5,29,21,8,,,
12,54,69,152,5,38,28,10,,,
17,45,84,152,5,26,20,6,,,
16,40,74,136,6,40,28,12,,,
22,31,66,114,4,31,22,8,,,
36,21,54,86,3,25,19,6,,,
39,28,62,105,4,25,21,4,,,
35,30,68,113,4,25,21,5,,,
27,33,77,128,5,29,22,7,,,
32,34,75,127,5,29,22,7,,,
45,17,63,89,4,17,13,4,,,
46,20,60,91,4,18,15,3,,,
43,14,61,83,3,14,11,3,,,
54,13,48,68,1,20,16,5,,,
50,22,55,88,1,14,11,3,,,
44,24,58,94,1,20,16,4,,,
39,27,62,104,2,22,17,5,,,
42,27,60,101,2,17,14,3,,,
40,20,63,94,1,16,13,3,,,
45,10,63,79,2,27,20,7,,,
34,25,70,109,4,34,24,11,,,
15,45,71,139,4,35,25,10,,,
21,32,55,105,3,47,32,16,,,
21,40,68,129,4,25,17,8,,,
30,12,59,78,3,13,9,4,,,
41,5,36,44,2,17,13,4,,,
67,2,15,18,2,16,12,5,,,
67,3,25,30,3,16,13,3,,,
58,4,28,34,2,15,13,3,,,
53,4,24,30,2,17,12,5,,,
68,4,25,30,2,14,12,2,,,
28,34,64,116,3,14,13,1,,,
33,15,51,75,2,13,10,4,,,
53,8,38,51,3,15,11,4,,,
54,4,23,29,3,16,12,4,,,
31,21,53,85,3,17,13,3,,,
16,14,40,62,2,17,13,4,,,
34,18,38,66,3,22,15,8,,,
29,36,57,112,4,13,8,5,,,
34,23,50,86,4,12,10,2,,,
51,5,29,37,3,11,7,4,,,
40,25,52,91,4,10,8,2,,,
31,24,50,87,3,14,11,2,,,
32,23,50,85,3,16,12,4,,,
27,31,67,115,3,12,10,2,,,
34,27,69,110,4,15,12,4,,,
54,4,27,34,,11,9,2,,,
46,5,30,37,,12,10,2,,,
44,10,33,48,,16,12,4,,,
19,43,90,156,,25,19,5,,,
32,10,44,59,,23,15,8,,,
56,3,18,23,,13,9,4,9,6,3
55,4,27,34,2,11,9,2,7,6,1
55,5,30,38,2,8,6,3,5,3,2
44,5,27,36,2,11,9,2,6,4,1
56,5,29,36,2,11,7,4,6,4,2
51,6,32,41,2,10,6,4,8,5,3
47,8,37,49,2,10,8,2,5,5,0
28,21,63,96,3,16,12,3,12,10,2
25,29,70,114,2,14,11,3,13,10,3
32,20,59,90,2,14,11,4,13,10,3
22,26,69,109,2,25,19,7,26,19,7
15,34,64,116,2,26,20,6,26,20,6
25,29,55,99,2,18,14,5,15,12,3
28,31,57,104,2,14,9,5,10,7,3
26,32,58,107,3,9,7,3,5,4,1
15,31,65,112,3,10,8,2,6,5,1
31,21,58,90,2,14,11,3,11,9,2
48,14,53,75,3,12,9,3,10,8,2
78,2,23,25,3,14,10,4,11,8,3
36,13,56,75,3,18,13,5,15,11,4
15,30,66,111,3,17,13,4,14,11,3
20,30,62,107,3,17,13,4,15,13,2
34,22,73,106,2,21,17,4,18,16,3
22,19,44,73,2,11,9,2,8,7,1
34,15,45,68,4,11,9,3,7,6,1
30,12,44,63,3,12,9,3,7,6,1
33,21,43,75,4,10,8,2,6,5,1
31,17,45,71,3,14,11,3,9,8,2
35,17,45,71,3,13,10,3,9,8,1
30,19,46,75,3,12,9,3,8,7,1
39,13,27,47,3,10,7,3,7,6,2
32,12,24,42,3,8,5,3,5,3,1
36,12,43,62,3,10,7,2,8,6,1
30,12,47,65,4,15,12,3,11,9,2
25,5,25,33,3,9,6,3,5,4,1
35,5,27,34,5,10,7,3,5,5,0
37,5,26,33,4,10,7,3,6,5,1
44,3,17,22,2,9,8,2,6,5,1
43,3,19,24,2,10,8,2,7,6,0
29,23,60,94,4,15,13,3,10,9,1
19,20,53,83,3,21,16,4,20,17,2
23,24,69,106,2,27,20,7,26,21,5
26,13,53,73,4,32,23,9,38,27,10
32,6,31,39,2,15,11,4,14,11,3
40,3,16,20,2,9,5,4,7,4,2
35,5,21,28,3,7,5,2,4,3,0
22,20,47,78,5,9,7,2,5,5,0
